,exp,order,rew,rt,run,sub,trial_index
0,sim,b_plus,0.0,,2,fd_135,0
1,sim,iti,0.0,,2,fd_135,1
2,sim,c_plus,0.0,,2,fd_135,2
3,sim,iti,0.0,,2,fd_135,3
4,sim,b_plus,1.0,850.075000004,2,fd_135,4
5,sim,iti,0.0,,2,fd_135,5
6,sim,c_plus,0.0,,2,fd_135,6
7,sim,iti,0.0,,2,fd_135,7
8,sim,c_plus,1.0,849.080000009,2,fd_135,8
9,sim,iti,0.0,,2,fd_135,9
10,sim,b_plus,1.0,565.900000001,2,fd_135,10
11,sim,iti,0.0,,2,fd_135,11
12,sim,c_minus,1.0,954.418000003,2,fd_135,12
13,sim,iti,0.0,,2,fd_135,13
14,sim,c_minus,0.0,,2,fd_135,14
15,sim,iti,0.0,,2,fd_135,15
16,sim,b_plus,1.0,842.410000006,2,fd_135,16
17,sim,iti,0.0,,2,fd_135,17
18,sim,b_minus,0.0,,2,fd_135,18
19,sim,iti,0.0,,2,fd_135,19
20,sim,b_plus,1.0,826.062000002,2,fd_135,20
21,sim,iti,0.0,,2,fd_135,21
22,sim,c_plus,1.0,845.668999996,2,fd_135,22
23,sim,iti,0.0,,2,fd_135,23
24,sim,b_plus,1.0,401.455999992,2,fd_135,24
25,sim,iti,0.0,,2,fd_135,25
26,sim,c_minus,0.0,,2,fd_135,26
27,sim,iti,0.0,,2,fd_135,27
28,sim,c_plus,1.0,855.878999989,2,fd_135,28
29,sim,iti,0.0,,2,fd_135,29
30,sim,c_plus,1.0,1169.617,2,fd_135,30
31,sim,iti,0.0,,2,fd_135,31
32,sim,b_minus,1.0,916.592999996,2,fd_135,32
33,sim,iti,0.0,,2,fd_135,33
34,sim,b_plus,0.0,,2,fd_135,34
35,sim,iti,0.0,,2,fd_135,35
36,sim,b_plus,1.0,815.349000006,2,fd_135,36
37,sim,iti,0.0,,2,fd_135,37
38,sim,c_minus,0.0,,2,fd_135,38
39,sim,iti,0.0,,2,fd_135,39
40,sim,b_minus,0.0,,2,fd_135,40
41,sim,iti,0.0,,2,fd_135,41
42,sim,c_minus,0.0,,2,fd_135,42
43,sim,iti,0.0,,2,fd_135,43
44,sim,b_minus,0.0,,2,fd_135,44
45,sim,iti,0.0,,2,fd_135,45
46,sim,c_minus,0.0,,2,fd_135,46
47,sim,iti,0.0,,2,fd_135,47
48,sim,c_plus,1.0,997.678000008,2,fd_135,48
49,sim,iti,0.0,,2,fd_135,49
50,sim,b_plus,1.0,543.952000007,2,fd_135,50
51,sim,iti,0.0,,2,fd_135,51
52,sim,c_minus,1.0,863.84,2,fd_135,52
53,sim,iti,0.0,,2,fd_135,53
54,sim,b_minus,1.0,993.301999997,2,fd_135,54
55,sim,iti,0.0,,2,fd_135,55
56,sim,b_minus,0.0,,2,fd_135,56
57,sim,iti,0.0,,2,fd_135,57
58,sim,c_minus,0.0,,2,fd_135,58
59,sim,iti,0.0,,2,fd_135,59
60,sim,b_minus,0.0,,2,fd_135,60
61,sim,iti,0.0,,2,fd_135,61
62,sim,c_plus,1.0,841.811,2,fd_135,62
63,sim,iti,0.0,,2,fd_135,63
64,sim,b_minus,0.0,,2,fd_135,64
65,sim,iti,0.0,,2,fd_135,65
66,sim,c_plus,1.0,860.494000002,2,fd_135,66
67,sim,iti,0.0,,2,fd_135,67
68,sim,c_minus,0.0,,2,fd_135,68
69,sim,iti,0.0,,2,fd_135,69
70,sim,b_minus,0.0,,2,fd_135,70
71,sim,iti,0.0,,2,fd_135,71
72,sim,b_minus,1.0,877.895000007,2,fd_135,72
73,sim,iti,0.0,,2,fd_135,73
74,sim,b_plus,0.0,,2,fd_135,74
75,sim,iti,0.0,,2,fd_135,75
76,sim,c_plus,0.0,,2,fd_135,76
77,sim,iti,0.0,,2,fd_135,77
78,sim,c_minus,1.0,906.198999999,2,fd_135,78
79,sim,iti,0.0,,2,fd_135,79
80,ser,A,0.0,,2,fd_135,0
81,ser,c_minus,0.0,,2,fd_135,1
82,ser,iti,0.0,,2,fd_135,2
83,ser,b_minus,1.0,864.840000003,2,fd_135,3
84,ser,iti,0.0,,2,fd_135,4
85,ser,A,0.0,,2,fd_135,5
86,ser,c_minus,0.0,,2,fd_135,6
87,ser,iti,0.0,,2,fd_135,7
88,ser,A,0.0,,2,fd_135,8
89,ser,c_minus,0.0,,2,fd_135,9
90,ser,iti,0.0,,2,fd_135,10
91,ser,A,0.0,,2,fd_135,11
92,ser,b_plus,1.0,862.627999997,2,fd_135,12
93,ser,iti,0.0,,2,fd_135,13
94,ser,b_minus,0.0,,2,fd_135,14
95,ser,iti,0.0,,2,fd_135,15
96,ser,b_minus,0.0,,2,fd_135,16
97,ser,iti,0.0,,2,fd_135,17
98,ser,A,0.0,,2,fd_135,18
99,ser,c_minus,0.0,,2,fd_135,19
100,ser,iti,0.0,,2,fd_135,20
101,ser,A,0.0,,2,fd_135,21
102,ser,c_minus,0.0,,2,fd_135,22
103,ser,iti,0.0,,2,fd_135,23
104,ser,A,0.0,,2,fd_135,24
105,ser,b_plus,0.0,,2,fd_135,25
106,ser,iti,0.0,,2,fd_135,26
107,ser,c_plus,0.0,,2,fd_135,27
108,ser,iti,0.0,,2,fd_135,28
109,ser,A,0.0,,2,fd_135,29
110,ser,b_plus,1.0,569.301999989,2,fd_135,30
111,ser,iti,0.0,,2,fd_135,31
112,ser,c_plus,1.0,1052.861,2,fd_135,32
113,ser,iti,0.0,,2,fd_135,33
114,ser,c_plus,1.0,861.050999994,2,fd_135,34
115,ser,iti,0.0,,2,fd_135,35
116,ser,A,0.0,,2,fd_135,36
117,ser,c_minus,1.0,911.545000004,2,fd_135,37
118,ser,iti,0.0,,2,fd_135,38
119,ser,A,0.0,,2,fd_135,39
120,ser,c_minus,1.0,880.962000004,2,fd_135,40
121,ser,iti,0.0,,2,fd_135,41
122,ser,A,0.0,,2,fd_135,42
123,ser,b_plus,1.0,856.699000005,2,fd_135,43
124,ser,iti,0.0,,2,fd_135,44
125,ser,b_minus,0.0,,2,fd_135,45
126,ser,iti,0.0,,2,fd_135,46
127,ser,c_plus,1.0,835.419000004,2,fd_135,47
128,ser,iti,0.0,,2,fd_135,48
129,ser,c_plus,1.0,609.260999999,2,fd_135,49
130,ser,iti,0.0,,2,fd_135,50
131,ser,c_plus,1.0,586.993000004,2,fd_135,51
132,ser,iti,0.0,,2,fd_135,52
133,ser,A,0.0,,2,fd_135,53
134,ser,c_minus,0.0,,2,fd_135,54
135,ser,iti,0.0,,2,fd_135,55
136,ser,b_minus,0.0,,2,fd_135,56
137,ser,iti,0.0,,2,fd_135,57
138,ser,A,0.0,,2,fd_135,58
139,ser,b_plus,0.0,,2,fd_135,59
140,ser,iti,0.0,,2,fd_135,60
141,ser,c_plus,0.0,,2,fd_135,61
142,ser,iti,0.0,,2,fd_135,62
143,ser,A,0.0,,2,fd_135,63
144,ser,b_plus,1.0,595.41699999,2,fd_135,64
145,ser,iti,0.0,,2,fd_135,65
146,ser,A,0.0,,2,fd_135,66
147,ser,b_plus,1.0,832.342000003,2,fd_135,67
148,ser,iti,0.0,,2,fd_135,68
149,ser,A,0.0,,2,fd_135,69
150,ser,b_plus,1.0,390.793999992,2,fd_135,70
151,ser,iti,0.0,,2,fd_135,71
152,ser,b_minus,1.0,809.115999998,2,fd_135,72
153,ser,iti,0.0,,2,fd_135,73
154,ser,A,0.0,,2,fd_135,74
155,ser,c_minus,0.0,,2,fd_135,75
156,ser,iti,0.0,,2,fd_135,76
157,ser,A,0.0,,2,fd_135,77
158,ser,b_plus,1.0,664.857000005,2,fd_135,78
159,ser,iti,0.0,,2,fd_135,79
160,ser,c_plus,1.0,844.196,2,fd_135,80
161,ser,iti,0.0,,2,fd_135,81
162,ser,b_minus,0.0,,2,fd_135,82
163,ser,iti,0.0,,2,fd_135,83
164,ser,b_minus,0.0,,2,fd_135,84
165,ser,iti,0.0,,2,fd_135,85
166,ser,b_minus,0.0,,2,fd_135,86
167,ser,iti,0.0,,2,fd_135,87
168,ser,c_plus,1.0,821.322999991,2,fd_135,88
169,ser,iti,0.0,,2,fd_135,89
170,ser,A,0.0,,2,fd_135,90
171,ser,c_minus,1.0,903.811999998,2,fd_135,91
172,ser,iti,0.0,,2,fd_135,92
173,ser,b_minus,1.0,910.930000007,2,fd_135,93
174,ser,iti,0.0,,2,fd_135,94
175,ser,c_plus,0.0,,2,fd_135,95
176,ser,iti,0.0,,2,fd_135,96
177,ser,A,0.0,,2,fd_135,97
178,ser,b_plus,0.0,,2,fd_135,98
179,ser,iti,0.0,,2,fd_135,99
180,sim,b_minus,0.0,,1,fd_105,0
181,sim,iti,0.0,,1,fd_105,1
182,sim,b_minus,0.0,,1,fd_105,2
183,sim,iti,0.0,,1,fd_105,3
184,sim,c_plus,1.0,943.0,1,fd_105,4
185,sim,iti,0.0,,1,fd_105,5
186,sim,b_minus,0.0,,1,fd_105,6
187,sim,iti,0.0,,1,fd_105,7
188,sim,c_plus,1.0,699.0,1,fd_105,8
189,sim,iti,0.0,,1,fd_105,9
190,sim,c_plus,0.0,,1,fd_105,10
191,sim,iti,0.0,,1,fd_105,11
192,sim,c_minus,0.0,,1,fd_105,12
193,sim,iti,0.0,,1,fd_105,13
194,sim,c_plus,1.0,877.0,1,fd_105,14
195,sim,iti,0.0,,1,fd_105,15
196,sim,c_minus,1.0,950.0,1,fd_105,16
197,sim,iti,0.0,,1,fd_105,17
198,sim,b_minus,0.0,,1,fd_105,18
199,sim,iti,0.0,,1,fd_105,19
200,sim,b_plus,0.0,,1,fd_105,20
201,sim,iti,0.0,,1,fd_105,21
202,sim,b_minus,1.0,1046.0,1,fd_105,22
203,sim,iti,0.0,,1,fd_105,23
204,sim,c_plus,1.0,926.0,1,fd_105,24
205,sim,iti,0.0,,1,fd_105,25
206,sim,b_plus,1.0,738.0,1,fd_105,26
207,sim,iti,0.0,,1,fd_105,27
208,sim,c_minus,0.0,,1,fd_105,28
209,sim,iti,0.0,,1,fd_105,29
210,sim,c_minus,1.0,900.0,1,fd_105,30
211,sim,iti,0.0,,1,fd_105,31
212,sim,c_minus,0.0,,1,fd_105,32
213,sim,iti,0.0,,1,fd_105,33
214,sim,c_plus,1.0,868.0,1,fd_105,34
215,sim,iti,0.0,,1,fd_105,35
216,sim,c_plus,0.0,,1,fd_105,36
217,sim,iti,0.0,,1,fd_105,37
218,sim,b_plus,0.0,,1,fd_105,38
219,sim,iti,0.0,,1,fd_105,39
220,sim,c_plus,1.0,1099.0,1,fd_105,40
221,sim,iti,0.0,,1,fd_105,41
222,sim,c_minus,0.0,,1,fd_105,42
223,sim,iti,0.0,,1,fd_105,43
224,sim,b_plus,1.0,930.0,1,fd_105,44
225,sim,iti,0.0,,1,fd_105,45
226,sim,c_minus,0.0,,1,fd_105,46
227,sim,iti,0.0,,1,fd_105,47
228,sim,b_plus,1.0,903.0,1,fd_105,48
229,sim,iti,0.0,,1,fd_105,49
230,sim,b_minus,0.0,,1,fd_105,50
231,sim,iti,0.0,,1,fd_105,51
232,sim,b_plus,1.0,846.0,1,fd_105,52
233,sim,iti,0.0,,1,fd_105,53
234,sim,b_minus,0.0,,1,fd_105,54
235,sim,iti,0.0,,1,fd_105,55
236,sim,c_minus,0.0,,1,fd_105,56
237,sim,iti,0.0,,1,fd_105,57
238,sim,b_minus,1.0,917.0,1,fd_105,58
239,sim,iti,0.0,,1,fd_105,59
240,sim,b_plus,1.0,860.0,1,fd_105,60
241,sim,iti,0.0,,1,fd_105,61
242,sim,c_minus,0.0,,1,fd_105,62
243,sim,iti,0.0,,1,fd_105,63
244,sim,b_plus,1.0,834.0,1,fd_105,64
245,sim,iti,0.0,,1,fd_105,65
246,sim,c_plus,1.0,898.0,1,fd_105,66
247,sim,iti,0.0,,1,fd_105,67
248,sim,b_plus,1.0,611.0,1,fd_105,68
249,sim,iti,0.0,,1,fd_105,69
250,sim,b_minus,0.0,,1,fd_105,70
251,sim,iti,0.0,,1,fd_105,71
252,sim,b_minus,1.0,1054.0,1,fd_105,72
253,sim,iti,0.0,,1,fd_105,73
254,sim,c_minus,1.0,851.0,1,fd_105,74
255,sim,iti,0.0,,1,fd_105,75
256,sim,b_plus,0.0,,1,fd_105,76
257,sim,iti,0.0,,1,fd_105,77
258,sim,c_plus,0.0,,1,fd_105,78
259,sim,iti,0.0,,1,fd_105,79
260,ser,A,0.0,,1,fd_105,0
261,ser,b_plus,0.0,,1,fd_105,1
262,ser,iti,0.0,,1,fd_105,2
263,ser,c_plus,1.0,1194.0,1,fd_105,3
264,ser,iti,0.0,,1,fd_105,4
265,ser,c_plus,1.0,848.0,1,fd_105,5
266,ser,iti,0.0,,1,fd_105,6
267,ser,A,0.0,,1,fd_105,7
268,ser,c_minus,1.0,919.0,1,fd_105,8
269,ser,iti,0.0,,1,fd_105,9
270,ser,A,0.0,,1,fd_105,10
271,ser,b_plus,1.0,945.0,1,fd_105,11
272,ser,iti,0.0,,1,fd_105,12
273,ser,b_minus,0.0,,1,fd_105,13
274,ser,iti,0.0,,1,fd_105,14
275,ser,A,0.0,,1,fd_105,15
276,ser,b_plus,1.0,875.0,1,fd_105,16
277,ser,iti,0.0,,1,fd_105,17
278,ser,A,0.0,,1,fd_105,18
279,ser,b_plus,1.0,876.0,1,fd_105,19
280,ser,iti,0.0,,1,fd_105,20
281,ser,A,0.0,,1,fd_105,21
282,ser,b_plus,1.0,962.0,1,fd_105,22
283,ser,iti,0.0,,1,fd_105,23
284,ser,A,0.0,,1,fd_105,24
285,ser,c_minus,0.0,,1,fd_105,25
286,ser,iti,0.0,,1,fd_105,26
